StateCode,State,CountyCode,County,IncomePerCapita
AL,Alabama,1001,Autauga,41618
AL,Alabama,1003,Baldwin,45596
AL,Alabama,1005,Barbour,35199
AL,Alabama,1007,Bibb,30254
AL,Alabama,1009,Blount,34976
AL,Alabama,1011,Bullock,28797
AL,Alabama,1013,Butler,36450
AL,Alabama,1015,Calhoun,37120
AL,Alabama,1017,Chambers,33859
AL,Alabama,1019,Cherokee,35505
AL,Alabama,1021,Chilton,34798
AL,Alabama,1023,Choctaw,39280
AL,Alabama,1025,Clarke,36361
AL,Alabama,1027,Clay,33530
AL,Alabama,1029,Cleburne,36159
AL,Alabama,1031,Coffee,43094
AL,Alabama,1033,Colbert,38378
AL,Alabama,1035,Conecuh,32656
AL,Alabama,1037,Coosa,31328
AL,Alabama,1039,Covington,35651
AL,Alabama,1041,Crenshaw,36645
AL,Alabama,1043,Cullman,39607
AL,Alabama,1045,Dale,36613
AL,Alabama,1047,Dallas,36026
AL,Alabama,1049,DeKalb,31916
AL,Alabama,1051,Elmore,42269
AL,Alabama,1053,Escambia,32996
AL,Alabama,1055,Etowah,36918
AL,Alabama,1057,Fayette,34966
AL,Alabama,1059,Franklin,34318
AL,Alabama,1061,Geneva,35192
AL,Alabama,1063,Greene,32359
AL,Alabama,1065,Hale,36585
AL,Alabama,1067,Henry,40360
AL,Alabama,1069,Houston,42398
AL,Alabama,1071,Jackson,36567
AL,Alabama,1073,Jefferson,54730
AL,Alabama,1075,Lamar,33496
AL,Alabama,1077,Lauderdale,37151
AL,Alabama,1079,Lawrence,34125
AL,Alabama,1081,Lee,38036
AL,Alabama,1083,Limestone,42546
AL,Alabama,1085,Lowndes,38991
AL,Alabama,1087,Macon,32919
AL,Alabama,1089,Madison,51445
AL,Alabama,1091,Marengo,39801
AL,Alabama,1093,Marion,33264
AL,Alabama,1095,Marshall,36044
AL,Alabama,1097,Mobile,38243
AL,Alabama,1099,Monroe,33456
AL,Alabama,1101,Montgomery,43688
AL,Alabama,1103,Morgan,39991
AL,Alabama,1105,Perry,30535
AL,Alabama,1107,Pickens,32551
AL,Alabama,1109,Pike,37359
AL,Alabama,1111,Randolph,32411
AL,Alabama,1113,Russell,33104
AL,Alabama,1115,Shelby,54369
AL,Alabama,1117,St. Clair,38569
AL,Alabama,1119,Sumter,31664
AL,Alabama,1121,Talladega,34718
AL,Alabama,1123,Tallapoosa,40696
AL,Alabama,1125,Tuscaloosa,38822
AL,Alabama,1127,Walker,40197
AL,Alabama,1129,Washington,36323
AL,Alabama,1131,Wilcox,32215
AL,Alabama,1133,Winston,35430
AK,Alaska,2013,Aleutians East Borough,56676
AK,Alaska,2016,Aleutians West Census Area,54385
AK,Alaska,2020,Anchorage Municipality,66510
AK,Alaska,2050,Bethel Census Area,43500
AK,Alaska,2060,Bristol Bay Borough,143575
AK,Alaska,2068,Denali Borough,82919
AK,Alaska,2070,Dillingham Census Area,59621
AK,Alaska,2090,Fairbanks North Star Borough,56606
AK,Alaska,2100,Haines Borough,67059
AK,Alaska,2105,Hoonah-Angoon Census Area,61752
AK,Alaska,2110,Juneau City and Borough,68145
AK,Alaska,2122,Kenai Peninsula Borough,52015
AK,Alaska,2130,Ketchikan Gateway Borough,67602
AK,Alaska,2150,Kodiak Island Borough,63938
AK,Alaska,2158,Kusilvak Census Area,30099
AK,Alaska,2164,Lake and Peninsula Borough,65414
AK,Alaska,2170,Matanuska-Susitna Borough,45897
AK,Alaska,2180,Nome Census Area,51378
AK,Alaska,2185,North Slope Borough,83489
AK,Alaska,2188,Northwest Arctic Borough,47854
AK,Alaska,2195,Petersburg Borough,69995
AK,Alaska,2198,Prince of Wales-Hyder Census Area,43707
AK,Alaska,2220,Sitka City and Borough,71972
AK,Alaska,2230,Skagway Municipality,81471
AK,Alaska,2240,Southeast Fairbanks Census Area,49398
AK,Alaska,2261,Valdez-Cordova Census Area,62307
AK,Alaska,2275,Wrangell City and Borough,47658
AK,Alaska,2282,Yakutat City and Borough,58937
AK,Alaska,2290,Yukon-Koyukuk Census Area,59010
AZ,Arizona,4001,Apache,34355
AZ,Arizona,4003,Cochise,40308
AZ,Arizona,4005,Coconino,48129
AZ,Arizona,4007,Gila,40267
AZ,Arizona,4009,Graham,31597
AZ,Arizona,4011,Greenlee,39855
AZ,Arizona,4012,La Paz,30948
AZ,Arizona,4013,Maricopa,47694
AZ,Arizona,4015,Mohave,33148
AZ,Arizona,4017,Navajo,32165
AZ,Arizona,4019,Pima,44028
AZ,Arizona,4021,Pinal,30644
AZ,Arizona,4023,Santa Cruz,39057
AZ,Arizona,4025,Yavapai,40312
AZ,Arizona,4027,Yuma,35682
AR,Arkansas,5001,Arkansas,45290
AR,Arkansas,5003,Ashley,34813
AR,Arkansas,5005,Baxter,37106
AR,Arkansas,5007,Benton,88890
AR,Arkansas,5009,Boone,36089
AR,Arkansas,5011,Bradley,39491
AR,Arkansas,5013,Calhoun,34426
AR,Arkansas,5015,Carroll,33690
AR,Arkansas,5017,Chicot,36293
AR,Arkansas,5019,Clark,36314
AR,Arkansas,5021,Clay,34149
AR,Arkansas,5023,Cleburne,38307
AR,Arkansas,5025,Cleveland,40344
AR,Arkansas,5027,Columbia,38749
AR,Arkansas,5029,Conway,38191
AR,Arkansas,5031,Craighead,37531
AR,Arkansas,5033,Crawford,32952
AR,Arkansas,5035,Crittenden,36978
AR,Arkansas,5037,Cross,35949
AR,Arkansas,5039,Dallas,34645
AR,Arkansas,5041,Desha,37828
AR,Arkansas,5043,Drew,37148
AR,Arkansas,5045,Faulkner,37598
AR,Arkansas,5047,Franklin,34275
AR,Arkansas,5049,Fulton,28994
AR,Arkansas,5051,Garland,40004
AR,Arkansas,5053,Grant,38201
AR,Arkansas,5055,Greene,34895
AR,Arkansas,5057,Hempstead,32515
AR,Arkansas,5059,Hot Spring,30580
AR,Arkansas,5061,Howard,35292
AR,Arkansas,5063,Independence,35086
AR,Arkansas,5065,Izard,30608
AR,Arkansas,5067,Jackson,35880
AR,Arkansas,5069,Jefferson,35356
AR,Arkansas,5071,Johnson,28970
AR,Arkansas,5073,Lafayette,36292
AR,Arkansas,5075,Lawrence,35126
AR,Arkansas,5077,Lee,27619
AR,Arkansas,5079,Lincoln,27002
AR,Arkansas,5081,Little River,34086
AR,Arkansas,5083,Logan,34490
AR,Arkansas,5085,Lonoke,38764
AR,Arkansas,5087,Madison,35496
AR,Arkansas,5089,Marion,30743
AR,Arkansas,5091,Miller,33401
AR,Arkansas,5093,Mississippi,31428
AR,Arkansas,5095,Monroe,32651
AR,Arkansas,5097,Montgomery,30834
AR,Arkansas,5099,Nevada,34180
AR,Arkansas,5101,Newton,28808
AR,Arkansas,5103,Ouachita,36907
AR,Arkansas,5105,Perry,34877
AR,Arkansas,5107,Phillips,31128
AR,Arkansas,5109,Pike,33113
AR,Arkansas,5111,Poinsett,32315
AR,Arkansas,5113,Polk,30751
AR,Arkansas,5115,Pope,35261
AR,Arkansas,5117,Prairie,35935
AR,Arkansas,5119,Pulaski,51185
AR,Arkansas,5121,Randolph,33486
AR,Arkansas,5123,Saline,41397
AR,Arkansas,5125,Scott,31401
AR,Arkansas,5127,Searcy,28511
AR,Arkansas,5129,Sebastian,42110
AR,Arkansas,5131,Sevier,31436
AR,Arkansas,5133,Sharp,32012
AR,Arkansas,5135,St. Francis,27948
AR,Arkansas,5137,Stone,31086
AR,Arkansas,5139,Union,46474
AR,Arkansas,5141,Van Buren,31176
AR,Arkansas,5143,Washington,40247
AR,Arkansas,5145,White,35445
AR,Arkansas,5147,Woodruff,37545
AR,Arkansas,5149,Yell,33320
CA,California,6001,Alameda,76644
CA,California,6003,Alpine,73307
CA,California,6005,Amador,44793
CA,California,6007,Butte,44346
CA,California,6009,Calaveras,49893
CA,California,6011,Colusa,49094
CA,California,6013,Contra Costa,82506
CA,California,6015,Del Norte,37268
CA,California,6017,El Dorado,67464
CA,California,6019,Fresno,43084
CA,California,6021,Glenn,48613
CA,California,6023,Humboldt,48739
CA,California,6025,Imperial,36974
CA,California,6027,Inyo,61358
CA,California,6029,Kern,39703
CA,California,6031,Kings,35306
CA,California,6033,Lake,43185
CA,California,6035,Lassen,37844
CA,California,6037,Los Angeles,62224
CA,California,6039,Madera,39897
CA,California,6041,Marin,134275
CA,California,6043,Mariposa,53143
CA,California,6045,Mendocino,50150
CA,California,6047,Merced,38519
CA,California,6049,Modoc,44822
CA,California,6051,Mono,51325
CA,California,6053,Monterey,56193
CA,California,6055,Napa,74984
CA,California,6057,Nevada,61799
CA,California,6059,Orange,69268
CA,California,6061,Placer,66700
CA,California,6063,Plumas,53599
CA,California,6065,Riverside,40637
CA,California,6067,Sacramento,52544
CA,California,6069,San Benito,53822
CA,California,6071,San Bernardino,40316
CA,California,6073,San Diego,61386
CA,California,6075,San Francisco,130696
CA,California,6077,San Joaquin,44995
CA,California,6079,San Luis Obispo,58491
CA,California,6081,San Mateo,126392
CA,California,6083,Santa Barbara,62690
CA,California,6085,Santa Clara,107877
CA,California,6087,Santa Cruz,69355
CA,California,6089,Shasta,46582
CA,California,6091,Sierra,46615
CA,California,6093,Siskiyou,45065
CA,California,6095,Solano,51664
CA,California,6097,Sonoma,64501
CA,California,6099,Stanislaus,44120
CA,California,6101,Sutter,44535
CA,California,6103,Tehama,42483
CA,California,6105,Trinity,40640
CA,California,6107,Tulare,40420
CA,California,6109,Tuolumne,47838
CA,California,6111,Ventura,61712
CA,California,6113,Yolo,54118
CA,California,6115,Yuba,40929
CO,Colorado,8001,Adams,43315
CO,Colorado,8003,Alamosa,37351
CO,Colorado,8005,Arapahoe,60180
CO,Colorado,8007,Archuleta,41947
CO,Colorado,8009,Baca,40968
CO,Colorado,8011,Bent,27574
CO,Colorado,8013,Boulder,73394
CO,Colorado,8014,Broomfield,66410
CO,Colorado,8015,Chaffee,46998
CO,Colorado,8017,Cheyenne,56699
CO,Colorado,8019,Clear Creek,61300
CO,Colorado,8021,Conejos,36894
